Sensor Latitude,Sensor Longitude,Precision Time Stamp
53.93224394,13.0590517,1745589343000
53.93224394,13.0590517,1745589444000
53.93224394,13.0590517,1745589546000
53.93224394,13.0590517,1745589647000
53.93224334,13.05905057,1745589748000
53.93224334,13.05905057,1745589850000
53.93224334,13.05905057,1745589951000
53.93224334,13.05905057,1745590052000
53.93224334,13.05905057,1745590153000
53.93224334,13.05905057,1745590255000
53.93224334,13.05905057,1745590356000
53.93224334,13.05905057,1745590457000
53.93224334,13.05905057,1745590558000
53.93224243,13.0590513,1745590659000
53.93224243,13.0590513,1745590760000
53.93224243,13.0590513,1745590861000
53.93224243,13.0590513,1745590962000
53.93224243,13.0590513,1745591063000
53.93224243,13.0590513,1745591164000
53.93224243,13.0590513,1745591264000
53.93224243,13.0590513,1745591365000
53.93224243,13.0590513,1745591467000
53.93224268,13.0590496,1745591568000
53.93224268,13.0590496,1745591681000
53.93224268,13.0590496,1745591788000
53.93224353,13.05904858,1745591889000
53.93224353,13.05904858,1745591991000
53.93224353,13.05904858,1745592092000
53.93224353,13.05904858,1745592193000
53.93224353,13.05904858,1745592294000
53.93224353,13.05904858,1745592395000
53.93224353,13.05904858,1745592496000
53.93224353,13.05904858,1745592599000
53.93224353,13.05904858,1745592700000
53.93224439,13.05904802,1745592800000
53.93224439,13.05904802,1745592901000
53.93224439,13.05904802,1745593003000
53.93224439,13.05904802,1745593105000
53.93224439,13.05904802,1745593206000
53.93224439,13.05904802,1745593308000
53.93224439,13.05904802,1745593410000
53.93224439,13.05904802,1745593511000
53.93224439,13.05904802,1745593613000
53.93224526,13.05904745,1745593715000
53.93224526,13.05904745,1745593816000
53.93224526,13.05904745,1745593917000
53.93224526,13.05904745,1745594018000
53.93224526,13.05904745,1745594120000
53.93224506,13.05904736,1745594221000
53.93224506,13.05904736,1745594322000
53.93224506,13.05904736,1745594427000
53.93224506,13.05904736,1745594530000
53.93224506,13.05904736,1745594632000
53.93224506,13.05904736,1745594733000
53.93224506,13.05904736,1745594834000
53.93224506,13.05904736,1745594935000
53.93224506,13.05904736,1745595036000
53.93224506,13.05904736,1745595138000
53.93224506,13.05904736,1745595239000
53.93224506,13.05904736,1745595341000
53.93224506,13.05904736,1745595443000
53.93224506,13.05904736,1745595544000
53.93224506,13.05904736,1745595645000
53.93224506,13.05904736,1745595747000
53.9322446,13.05904638,1745595847000
53.9322446,13.05904638,1745595949000
53.9322446,13.05904638,1745596051000
53.9322446,13.05904638,1745596152000
53.9322446,13.05904638,1745596253000
53.9322446,13.05904638,1745596354000
53.9322446,13.05904638,1745596456000
53.9322446,13.05904638,1745596559000
53.9322446,13.05904638,1745596660000
53.9322446,13.05904638,1745596761000
53.9322446,13.05904638,1745596862000
53.9322446,13.05904638,1745596963000
53.9322446,13.05904638,1745597064000
53.9322446,13.05904638,1745597164000
53.9322446,13.05904638,1745597265000
53.9322446,13.05904638,1745597366000
53.9322446,13.05904638,1745597467000
53.9322454,13.05904567,1745597568000
53.9322454,13.05904567,1745597668000
53.93224556,13.05904532,1745597769000
53.93224556,13.05904532,1745597871000
53.93224556,13.05904532,1745597972000
53.93224556,13.05904532,1745598072000
53.93224556,13.05904532,1745598173000
53.93224563,13.05904488,1745598274000
53.93224563,13.05904488,1745598376000
53.93224565,13.0590447,1745598477000
53.93224557,13.05904457,1745598578000
53.93224561,13.05904446,1745598679000
